Address,Land_Use,Project_Type,Assessed_Value,Stories,Green_SqFt,Est_Cost,Break_Even_Years,UHI_Cooling_kWh,Stormwater_Gal_Yr
5505   DELMAR BLVD,Light Industrial / Manufacturing,Green Roof,4673400,1,47442.242404020675,878960.3632723722,8.822360258075681,118605.60601005169,71163.36360603101
230   CARONDELET COMMONS BLVD,Light Industrial / Manufacturing,Green Roof,14621100,1,37467.0,699406.0,8.889168500026056,93667.5,56200.5
1   IKEA WAY,Light Industrial / Manufacturing,Green Roof,20000000,2,31202.399999999998,586643.2,8.952962104258159,78006.0,46803.6
6700   MANCHESTER AV,Light Industrial / Manufacturing,Green Roof,4197600,1,27081.0,512458.0,9.011026884074408,67702.5,40621.5
601   LOCUST ST,Light Industrial / Manufacturing,Green Roof,3463400,2,20259.899999999998,389678.19999999995,9.159030776018026,50649.74999999999,30389.85
799   CLARK AV,Light Industrial / Manufacturing,Green Roof,11744000,1,18764.980035263852,362769.6406347493,9.205842350840541,46912.45008815963,28147.470052895776
4567   WEST PINE BLVD,Light Industrial / Manufacturing,Green Roof,12360000,1,17279.955603602666,336039.200864848,9.260363322064153,43199.88900900666,25919.933405404
721  S 18TH ST,Light Industrial / Manufacturing,Green Roof,13120000,2,13521.75,268391.5,9.451844338970636,33804.375,20282.625
2807   CLARK AV,Light Industrial / Manufacturing,Green Roof,4074400,3,12986.2,258751.6,9.488152625020993,32465.5,19479.300000000003
2815   SCOTT AV,Light Industrial / Manufacturing,Green Roof,1779400,1,12000.0,241000.0,9.563492063492063,30000.0,18000.0
1500   LAFAYETTE AV,Light Industrial / Manufacturing,Green Roof,1297100,1,10981.5,222667.0,9.655502869544668,27453.75,16472.25
215  S 8TH ST,Light Industrial / Manufacturing,Green Roof,7520000,3,10099.999999999998,206799.99999999997,9.75011786892975,25249.999999999996,15149.999999999996
2319   CHOUTEAU AV,Light Industrial / Manufacturing,Green Roof,1605400,1,10033.5,205603.0,9.75792998217875,25083.75,15050.25
300  S TAYLOR AV,Light Industrial / Manufacturing,Green Roof,1090900,2,8835.0,184030.0,9.918883229579325,22087.5,13252.5
210  N TUCKER BLVD,Light Industrial / Manufacturing,Green Roof,11508800,1,8808.285339593225,183549.13611267804,9.922969926617194,22020.713348983063,13212.428009389838
6500   MANCHESTER AV,Light Industrial / Manufacturing,Green Roof,1600000,1,8676.0,181168.0,9.943577246481812,21690.0,13014.0
1005   CONVENTION PLAZA,Light Industrial / Manufacturing,Green Roof,1700400,2,8431.65,176769.69999999998,9.983342242508598,21079.125,12647.474999999999
1950   OLIVE ST,Light Industrial / Manufacturing,Green Roof,5332300,2,8347.199999999999,175249.59999999998,9.997626806137443,20867.999999999996,12520.8
2709   LOCUST BLVD,Light Industrial / Manufacturing,Green Roof,1474700,1,8254.62535044491,173583.2563080084,10.013621451099393,20636.563376112277,12381.938025667365
4611   CHIPPEWA ST,Light Industrial / Manufacturing,Green Roof,3040000,1,8040.0,169720.0,10.052120350627813,20100.0,12060.0
2020   HAMPTON AV,Light Industrial / Manufacturing,Green Roof,2139100,1,8003.099999999999,169055.8,10.058947395979297,20007.75,12004.65
1001  W HIGHLANDS PLAZA DR,Light Industrial / Manufacturing,Green Roof,5504000,2,7921.349999999999,167584.3,10.074298903475748,19803.375,11882.025
1900 R  MARKET ST,Light Industrial / Manufacturing,Green Roof,24107100,3,7872.099999999999,166697.8,10.08370126928072,19680.25,11808.15
700  N TUCKER BLVD,Light Industrial / Manufacturing,Green Roof,2623000,3,7806.599999999999,165518.8,10.09638974591707,19516.5,11709.9
4701   DELOR ST,Light Industrial / Manufacturing,Green Roof,1954400,1,7325.4,156857.19999999998,10.196563295097164,18313.5,10988.099999999999
1301   OLIVE ST,Light Industrial / Manufacturing,Green Roof,11552000,2,7125.0,153250.0,10.242272347535506,17812.5,10687.5
1021   OAKVIEW PL,Light Industrial / Manufacturing,Green Roof,2421200,2,7042.8,151770.40000000002,10.261773591131234,17607.0,10564.2
6129   CLAYTON AV,Light Industrial / Manufacturing,Green Roof,1817000,3,6816.9,147704.2,10.317788633151924,17042.25,10225.349999999999
4600   CHIPPEWA ST,Light Industrial / Manufacturing,Green Roof,977800,1,6600.0,143800.0,10.375180375180376,16500.0,9900.0
2028   OLIVE ST,Other Commercial,Green Roof,62716000,1,116841.73399138986,2128151.2118450175,10.407979796484325,292104.33497847465,175262.6009870848
816   OLIVE ST,Light Industrial / Manufacturing,Green Roof,1113870,1,6461.179981214511,141301.2396618612,10.413934420108578,16152.949953036277,9691.769971821766
1450  S 2ND ST,Light Industrial / Manufacturing,Green Roof,1151200,2,6432.0,140776.0,10.422293295427625,16080.0,9648.0
3975   PAPIN ST,Light Industrial / Manufacturing,Green Roof,1011600,2,6261.599999999999,137708.8,10.47266178734174,15653.999999999998,9392.4
1126   PINE ST,Light Industrial / Manufacturing,Green Roof,3749800,3,6239.499999999999,137311.0,10.479395861237357,15598.749999999998,9359.249999999998
2222   MARKET ST,Light Industrial / Manufacturing,Green Roof,4196200,2,6223.05,137014.90000000002,10.48443937879183,15557.625,9334.575
1521   PAPIN ST,Light Industrial / Manufacturing,Green Roof,965500,1,6136.8,135462.40000000002,10.511325896542951,15342.0,9205.2
